"id","code","name","description","status","created_date","created_by","modified_date","modified_by","permission_category_id"
c4e9a010-38b8-4806-a5a9-8d07828f20a2,VIEW_PERSONAL_PERMISSION,"View personal permission","View personal permission","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
4dc28c20-de5d-467a-8478-24f2532b2463,"EDIT_PERSONAL_PERMISSION","Edit personal permission","Edit personal permission","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
3d43edd9-c1db-4e00-a465-67c04964263d,"VIEW_ASSOCIATE_INFO_PERMISSION","View associate info permission","View associate info permission","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
d51d9836-1797-455d-81b5-506d2f14464a,"EDIT_ASSOCIATE_INFO_PERMISSION","Edit associate info permission","Edit associate info permission","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
b5e1b38a-1672-4ee8-86af-d0c367c325eb,"VIEW_ALL_PROJECTS","View all projects","View all projects","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
b138d5b6-4832-405e-b8bd-8bbdc31a8e50,"VIEW_PROJECT_DETAIL","View project detail","View project detail","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
ef1f918d-32e2-4812-8658-e61c3abe3c7f,"ADD_BOSCH_PROJECT","Add bosch project","Add bosch project","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
43738ecc-b405-4a3e-a5c6-cc3f4c61db4a,"UPDATE_BOSCH_PROJECT","Update bosch project","Update bosch project","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
31198323-840a-4de7-af60-483a625cf53b,"REMOVE_BOSCH_PROJECT","Remove bosch project","Remove bosch project","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
e4dced3a-8b69-480e-bda9-65ea5b14132c,"VIEW_ALL_LEARNING_COURSES","View all learning courses","View all learning courses","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
a9773d09-9fb6-4b45-ac89-1cda6c06910e,"ADD_NEW_LEARNING_COURSE","Add new learning course","Add new learning course","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
dd314d9d-fbea-4af5-961a-28d702399aea,"UPDATE_LEARNING_COURSE","Update learning course","Update learning course","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
bb688c32-9793-48b2-aeb0-4d78e40332a3,"REMOVE_LEARNING_COURSE","Remove learning course","Remove learning course","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
6c8892a4-ad14-438f-93d7-320039d2d7d2,"IMPORT_LEARNING_COURSES","Import learning courses","Import learning courses","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
d3400bc4-80de-4493-b7bf-44678edea240,"USER_GROUP","User group permission","User group permission","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
a7f363d6-ae6e-4450-93c7-d996137c97ff,"ROLES","Roles permission","Roles permission","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
bdbed098-7a67-4ab4-abd7-de953c07401d,"GROUP","Group permission","Group permission","Active","2022-11-14T14:57:53","sysadmin-617e-11ed-b62d-00059a3c7a00","NULL","NULL","admincb5-61d1-11ed-b4a3-00505695263f"
