id,role_id,permission_id
8d915324-1919-4d40-ae2a-6823a33d8afe,58e2aafe-6a9e-4587-a36f-d2304d0191de,c4e9a010-38b8-4806-a5a9-8d07828f20a2
ca69dc0b-9713-4c44-bb48-c5f5cc1c2ba5,58e2aafe-6a9e-4587-a36f-d2304d0191de,4dc28c20-de5d-467a-8478-24f2532b2463
0be35479-e3c2-45a0-ba87-0ad50fd82a28,58e2aafe-6a9e-4587-a36f-d2304d0191de,be758c4x-826b-11ed-a1eb-0242ac120002
e182d4e2-110f-419a-9855-64b46c99f6e2,58e2aafe-6a9e-4587-a36f-d2304d0191de,e4dced3a-8b69-480e-bda9-65ea5b14132c
39671c15-a4e6-4dc8-870c-789ca9e6b588,e1c8a553-30cf-429c-a377-422644277c04,c4e9a010-38b8-4806-a5a9-8d07828f20a2
324af189-b5dd-4cde-ab92-56cc9c8c5f4a,e1c8a553-30cf-429c-a377-422644277c04,4dc28c20-de5d-467a-8478-24f2532b2463
3d43edd9-c1db-4e00-a465-67c04964263d,e1c8a553-30cf-429c-a377-422644277c04,d51d9836-1797-455d-81b5-506d2f14464a
d60486c7-0f36-4c7a-8d73-da5be231456c,e1c8a553-30cf-429c-a377-422644277c04,3d43edd9-c1db-4e00-a465-67c04964263d
4e3aa883-d506-49ff-bb2a-9c4bca6a2056,e1c8a553-30cf-429c-a377-422644277c04,ef1f918d-32e2-4812-8658-e61c3abe3c7f
2adc2617-f12e-4944-bed8-1b78065c404a,e1c8a553-30cf-429c-a377-422644277c04,43738ecc-b405-4a3e-a5c6-cc3f4c61db4a
bcd1196d-86fd-4eb9-96cf-58690abe4301,e1c8a553-30cf-429c-a377-422644277c04,31198323-840a-4de7-af60-483a625cf53b
f37b6d9f-478e-43b3-89dc-0506de405734,e1c8a553-30cf-429c-a377-422644277c04,e8172595-d1c8-11ec-81c0-39f3ab0673e5
d38ffe44-2fac-4ff8-a5a1-c18d9d816231,e1c8a553-30cf-429c-a377-422644277c04,e8172595-d1c8-11ec-81c0-39f3ab0673e4
00b03741-a3c4-47c4-92e3-abf005ab75f6,e1c8a553-30cf-429c-a377-422644277c04,e4dced3a-8b69-480e-bda9-65ea5b14132c
2a4eab09-4c03-4a3d-aeda-0ef7912be254,e1c8a553-30cf-429c-a377-422644277c04,a9773d09-9fb6-4b45-ac89-1cda6c06910e
a37338d7-2d85-4108-b7ec-28f6bb526ca1,e1c8a553-30cf-429c-a377-422644277c04,6c8892a4-ad14-438f-93d7-320039d2d7d2
f0894e3c-511d-4c25-8667-4ad698c53d10,e1c8a553-30cf-429c-a377-422644277c04,dd314d9d-fbea-4af5-961a-28d702399aea
c18f49d4-de85-4618-9b9d-64a0fd77dbc1,e1c8a553-30cf-429c-a377-422644277c04,bb688c32-9793-48b2-aeb0-4d78e40332a3
57293ca4-ee80-4453-b5f7-839cb8be3396,e1c8a553-30cf-429c-a377-422644277c04,be758604-826b-11ed-a1eb-0242ac120002
ba30e2f6-32c2-404d-8da0-91fa39f1e380,e1c8a553-30cf-429c-a377-422644277c04,be758884-826b-11ed-a1eb-0242ac120002
834051eb-5c2e-4ad3-a9b2-afd3f2a1f4bc,e1c8a553-30cf-429c-a377-422644277c04,b138d5b6-4832-405e-b8bd-8bbdc31a8e50
4bba2ed5-34f8-49b7-b61b-922d3c4f12df,e1c8a553-30cf-429c-a377-422644277c04,be758c4x-826b-11ed-a1eb-0242ac120002
dc651c54-a9f3-45e0-b645-970429d2df97,e1c8a553-30cf-429c-a377-422644277c04,4dc28c20-de5d-467a-8478-24f2532b2463
3ad44bcb-8103-4e5d-8732-5a96e7fc0e22,e1c8a553-30cf-429c-a377-422644277c04,195283d2-61d5-11ed-b62d-00059a3c7a00
9fdecb11-9f56-41c5-8abe-cb76864ecf5d,e1c8a553-30cf-429c-a377-422644277c04,27a33594-61d5-11ed-b62d-00059a3c7a00
052085d2-373c-4208-b4b7-1d42e755438a,e1c8a553-30cf-429c-a377-422644277c04,21fbe010-61d5-11ed-b62d-00059a3c7a00
6f950763-b6e5-41a8-95be-844f094259e9,e1c8a553-30cf-429c-a377-422644277c04,be758b2c-826b-11ed-a1eb-0242ac120002
